tiempo,salida,entrada
1358.4,11.378587,10.0
1358.5,11.564211,10.0
1358.6,11.383978,10.0
1358.7,11.476399,10.0
1358.8,11.443826,10.0
1358.9,11.676623,10.0
1359.0,11.639454,10.0
1359.1,11.606679,10.0
1359.2,11.592750,10.0
1359.3,11.432246,10.0
1359.4,11.448507,10.0
1359.5,11.372724,10.0
1359.6,11.659390,10.0
1359.7,11.468422,10.0
1359.8,11.393656,10.0
1359.9,11.497968,10.0
1360.0,11.489116,10.0
1360.1,11.414932,10.0
1360.2,11.456404,10.0
1360.3,11.584756,10.0
1360.4,11.554556,10.0
1360.5,11.481572,10.0
1360.6,11.406302,10.0
1360.7,11.644774,10.0
1360.8,11.525049,10.0
1360.9,11.570200,10.0
1361.0,11.586906,10.0
1361.1,11.543344,10.0
1361.2,11.545764,10.0
1361.3,11.573747,10.0
1361.4,11.460866,10.0
1361.5,11.563097,10.0
1361.6,11.550097,10.0
1361.7,11.503666,10.0
1361.8,11.543606,10.0
1361.9,11.486145,10.0
1362.0,11.613283,10.0
1362.1,11.503596,10.0
1362.2,11.358413,10.0
1362.3,11.506780,10.0
1362.4,11.575769,10.0
1362.5,11.361892,10.0
1362.6,11.443194,10.0
1362.7,11.372752,10.0
1362.8,11.413747,10.0
1362.9,11.482864,10.0
1363.0,11.584249,10.0
1363.1,11.535761,10.0
1363.2,11.558932,10.0
1363.3,11.497266,10.0
1363.4,11.463155,10.0
1363.5,11.631591,10.0
1363.6,11.576615,10.0
1363.7,11.524861,10.0
1363.8,11.442556,10.0
1363.9,11.623089,10.0
1364.0,11.447233,10.0
1364.1,11.502718,10.0
1364.2,11.698078,10.0
1364.3,11.553952,10.0
1364.4,11.627608,10.0
1364.5,11.772644,10.0
1364.6,11.671386,10.0
1364.7,11.694054,10.0
1364.8,11.618283,10.0
1364.9,11.490132,10.0
1365.0,11.468041,10.0
1365.1,11.567726,10.0
1365.2,11.513546,10.0
1365.3,11.318274,10.0
1365.4,11.419167,10.0
1365.5,11.630729,10.0
1365.6,11.502471,10.0
1365.7,11.658708,10.0
1365.8,11.458750,10.0
1365.9,11.723814,10.0
1366.0,11.551944,10.0
1366.1,11.519018,10.0
1366.2,11.594947,10.0
1366.3,11.665905,10.0
1366.4,11.539059,10.0
1366.5,11.478040,10.0
1366.6,11.580792,10.0
1366.7,11.405069,10.0
1366.8,11.439784,10.0
1366.9,11.519837,10.0
1367.0,11.522451,10.0
1367.1,11.503872,10.0
1367.2,11.456961,10.0
1367.3,11.535729,10.0
1367.4,11.496101,10.0
1367.5,11.361794,10.0
1367.6,11.693588,10.0
1367.7,11.586716,10.0
1367.8,11.511769,10.0
1367.9,11.511472,10.0
1368.0,11.674423,10.0
1368.1,11.494468,10.0
1368.2,11.605869,10.0
1368.3,11.498868,10.0
1368.4,11.651572,10.0
1368.5,11.523547,10.0
1368.6,11.598559,10.0
1368.7,11.581213,10.0
1368.8,11.561816,10.0
1368.9,11.521939,10.0
1369.0,11.526918,10.0
1369.1,11.481095,10.0
1369.2,11.677801,10.0
1369.3,11.690089,10.0
1369.4,11.580087,10.0
1369.5,11.571572,10.0
1369.6,11.736024,10.0
1369.7,11.555867,10.0
1369.8,11.618292,10.0
1369.9,11.553196,10.0
1370.0,11.667822,10.0
1370.1,11.552930,10.0
1370.2,11.536713,10.0
1370.3,11.573718,10.0
1370.4,11.607164,10.0
1370.5,11.548558,10.0
1370.6,11.309999,10.0
1370.7,11.308558,10.0
1370.8,11.573131,10.0
1370.9,11.508820,10.0
1371.0,11.656776,10.0
1371.1,11.555984,10.0
1371.2,11.649882,10.0
1371.3,11.520990,10.0
1371.4,11.591132,10.0
1371.5,11.456370,10.0
1371.6,11.479143,10.0
1371.7,11.591314,10.0
1371.8,11.545928,10.0
1371.9,11.712799,10.0
1372.0,11.516489,10.0
1372.1,11.521983,10.0
1372.2,11.522758,10.0
1372.3,11.578519,10.0
1372.4,11.615425,10.0
1372.5,11.723862,10.0
1372.6,11.546462,10.0
1372.7,11.529567,10.0
1372.8,11.569529,10.0
1372.9,11.463573,10.0
1373.0,11.642895,10.0
1373.1,11.707188,10.0
1373.2,11.557708,10.0
1373.3,11.630793,10.0
1373.4,11.607525,10.0
1373.5,11.749738,10.0
1373.6,11.549123,10.0
1373.7,11.691892,10.0
1373.8,11.512505,10.0
1373.9,11.756347,10.0
1374.0,11.706056,10.0
1374.1,11.561300,10.0
1374.2,11.601632,10.0
1374.3,11.582985,10.0
1374.4,11.628782,10.0
1374.5,11.816728,10.0
1374.6,11.834187,10.0
1374.7,11.411976,10.0
1374.8,11.683670,10.0
1374.9,11.562567,10.0
1375.0,11.533228,10.0
1375.1,11.754491,10.0
1375.2,11.767594,10.0
1375.3,11.530984,10.0
1375.4,11.712581,10.0
1375.5,11.711991,10.0
1375.6,11.879450,10.0
1375.7,11.696045,10.0
1375.8,11.389404,10.0
1375.9,11.504871,10.0
1376.0,11.431427,10.0
1376.1,11.649150,10.0
1376.2,11.555767,10.0
1376.3,11.527027,10.0
1376.4,11.530721,10.0
1376.5,11.502822,10.0
1376.6,11.709684,10.0
1376.7,11.648986,10.0
1376.8,11.509922,10.0
1376.9,11.663386,10.0
1377.0,11.779955,10.0
1377.1,11.825311,10.0
1377.2,11.602721,10.0
1377.3,11.585692,10.0
1377.4,11.596119,10.0
1377.5,11.561800,10.0
1377.6,11.631535,10.0
1377.7,11.584505,10.0
1377.8,11.658906,10.0
1377.9,11.776014,10.0
1378.0,11.601644,10.0
1378.1,11.504208,10.0
1378.2,11.706239,10.0
1378.3,11.620316,10.0
1378.4,11.521355,10.0
1378.5,11.567563,10.0
1378.6,11.484982,10.0
1378.7,11.653428,10.0
1378.8,11.511384,10.0
1378.9,11.566365,10.0
1379.0,11.653806,10.0
1379.1,11.579533,10.0
1379.2,11.647898,10.0
1379.3,11.747981,10.0
1379.4,11.651054,10.0
1379.5,11.582600,10.0
1379.6,11.614120,10.0
1379.7,11.773832,10.0
1379.8,11.650793,10.0
1379.9,11.579218,10.0
1380.0,11.590478,10.0
1380.1,11.629490,10.0
1380.2,11.807429,10.0
1380.3,11.718062,10.0
1380.4,11.724348,10.0
1380.5,11.760723,10.0
1380.6,11.658411,10.0
1380.7,11.525920,10.0
1380.8,11.718302,10.0
1380.9,11.709735,10.0
1381.0,11.651539,10.0
1381.1,11.566772,10.0
1381.2,11.785433,10.0
1381.3,11.513590,10.0
1381.4,11.698197,10.0
1381.5,11.742251,10.0
1381.6,11.620155,10.0
1381.7,11.606212,10.0
1381.8,11.591259,10.0
1381.9,11.693605,10.0
1382.0,11.706553,10.0
1382.1,11.576619,10.0
1382.2,11.544605,10.0
1382.3,11.634516,10.0
1382.4,11.774064,10.0
1382.5,11.478888,10.0
1382.6,11.841782,10.0
1382.7,11.764434,10.0
1382.8,11.600251,10.0
1382.9,11.802260,10.0
1383.0,11.553605,10.0
1383.1,11.682097,10.0
1383.2,11.773848,10.0
1383.3,11.751343,10.0
1383.4,11.517973,10.0
1383.5,11.715830,10.0
1383.6,11.611957,10.0
1383.7,11.557287,10.0
1383.8,11.834554,10.0
